Aalborg,Europe/Paris
"Abbotsford, BC",America/Los_Angeles
Aberdeen,Europe/London
Abidjan,Atlantic/Reykjavik
Abu Dhabi,Asia/Dubai
Abuja,Africa/Lagos
Accra,Atlantic/Reykjavik
Addis Ababa,Africa/Nairobi
Adelaide,Australia/Adelaide
Aden,Asia/Riyadh
Agra,Asia/Calcutta
Ahmedabad,Asia/Calcutta
Akita,Asia/Tokyo
"Aklavik, NT",America/Denver
"Akron, OH",America/New_York
Al Ahsa,Asia/Riyadh
Al Ain,Asia/Dubai
Al Bayda',Asia/Riyadh
Al Hudaydah,Asia/Riyadh
Al Jahra,Asia/Riyadh
Alacati,Europe/Istanbul
Alajuela,America/Guatemala
"Albany, NY",America/New_York
Albena,Europe/Kiev
"Albuquerque, NM",America/Denver
Albury,Australia/Sydney
"Alert, NU",America/New_York
Alexandria,Africa/Cairo
Algiers,Africa/Lagos
Alicante,Europe/Paris
Alice Springs,Australia/Darwin
Almaty,Asia/Almaty
Almeria,Europe/Paris
Ambato,America/Bogota
Ambon,Asia/Tokyo
Amersfoort,Europe/Berlin
"Amherst, NS",America/Halifax
Amiens,Europe/Paris
Amman,Asia/Amman
Amritsar,Asia/Calcutta
Amsterdam,Europe/Berlin
Anadyr,Asia/Magadan
Anapa,Europe/Moscow
"Anchorage, AK",America/Anchorage
Ancona,Europe/Berlin
Andorra la Vella,Europe/Paris
Ankara,Europe/Istanbul
"Annapolis, MD",America/New_York
Anshan,Asia/Shanghai
Antananarivo,Africa/Nairobi
Antwerp,Europe/Paris
Apia,Pacific/Apia
Aqaba,Asia/Amman
Arad,Europe/Kiev
Arequipa,America/Bogota
Arkhangelsk,Europe/Moscow
Arklow,Europe/London
"Armstrong, BC",America/Los_Angeles
Arraial do Cabo,America/Sao_Paulo
Arzamas,Europe/Moscow
Ashkelon,Asia/Jerusalem
Ashkhabad,Asia/Tashkent
"Ashland, OR",America/Los_Angeles
Asmara,Asia/Riyadh
Astana,Asia/Almaty
Asuncion,America/Asuncion
Athens,Europe/Kiev
"Atlanta, GA",America/New_York
Auckland,Pacific/Auckland
"Augusta, ME",America/New_York
Aurangabad,Asia/Calcutta
"Austin, TX",America/Chicago
Avarua,Pacific/Honolulu
Aveiro,Europe/London
Aylesbury,Europe/London
Az Zarqa,Asia/Amman
Bacau,Europe/Kiev
Bacolod,Asia/Singapore
Badajoz,Europe/Paris
Baden-Baden,Europe/Berlin
Baghdad,Asia/Baghdad
Bahawalpur,Asia/Karachi
Bahia Blanca,America/Buenos_Aires
Bahia Kino,America/Phoenix
Balabag,Asia/Singapore
Balanga,Asia/Singapore
Balikpapan,Asia/Singapore
Balti,Europe/Kiev
"Baltimore, MD",America/New_York
Bamako,Atlantic/Reykjavik
Bandar Seri Begawan,Asia/Singapore
Bandarban,Asia/Dhaka
Bandung,Asia/Bangkok
"Banff, AB",America/Denver
Bangalore,Asia/Calcutta
Bangkok,Asia/Bangkok
Bangui,Africa/Lagos
Banja Luka,Europe/Warsaw
Banjul,Atlantic/Reykjavik
Baotou,Asia/Shanghai
Barcelona,Europe/Berlin
Barcelona,America/Caracas
Bareilly,Asia/Calcutta
Bari,Europe/Berlin
"Barrie, ON",America/New_York
Basse-Terre,America/La_Paz
Basseterre,America/La_Paz
"Baton Rouge, LA",America/Chicago
Beijing,Asia/Shanghai
Beja,Europe/London
Belfast,Europe/London
Belgorod,Europe/Moscow
Belgrade,Europe/Budapest
Belize City,America/Guatemala
"Bellevue, WA",America/Los_Angeles
Belmopan,America/Guatemala
Belo Horizonte,America/Sao_Paulo
Belogradchik,Europe/Kiev
Benevento,Europe/Berlin
Benxi,Asia/Shanghai
Bergen,Europe/Berlin
Berlin,Europe/Berlin
Bern,Europe/Berlin
Beziers,Europe/Paris
Bhopal,Asia/Calcutta
Bhubaneswar,Asia/Calcutta
Bilbao,Europe/Paris
"Billings, MT",America/Denver
Biratchowk,Asia/Katmandu
Birmingham,Europe/London
"Birmingham, AL",America/Chicago
Bishkek,Asia/Almaty
"Bismarck, ND",America/Chicago
Bissau,Atlantic/Reykjavik
Blanes,Europe/Paris
Blantyre,Africa/Johannesburg
Blantyre-Hamilton,Europe/London
Bloemfontein,Africa/Johannesburg
Bodrum,Europe/Istanbul
Bogota,America/Bogota
"Boise, ID",America/Denver
Bologna,Europe/Berlin
Bonn,Europe/Berlin
Bordeaux,Europe/Paris
"Boston, MA",America/New_York
Braganca,Europe/London
Brasilia,America/Sao_Paulo
Bratislava,Europe/Budapest
Brazzaville,Africa/Lagos
Bremen,Europe/Berlin
Brest,Europe/Paris
Bridgetown,America/La_Paz
Brindisi,Europe/Berlin
Brisbane,Australia/Brisbane
Bristol,Europe/London
Brno,Europe/Budapest
Brussels,Europe/Paris
Bucharest,Europe/Kiev
Budapest,Europe/Budapest
Buenos Aires,America/Buenos_Aires
"Buffalo, NY",America/New_York
Bujumbura,Africa/Johannesburg
Burgos,Europe/Paris
Buri Ram,Asia/Bangkok
"Burnaby, BC",America/Los_Angeles
Bursa,Europe/Istanbul
Busan,Asia/Seoul
Butterworth,Asia/Singapore
Cairns,Australia/Brisbane
Cairo,Africa/Cairo
Calabar,Africa/Lagos
"Calgary, AB",America/Denver
Campinas,America/Sao_Paulo
Canberra,Australia/Sydney
"Canmore, AB",America/Denver
Cannes,Europe/Paris
"Cannon Beach, OR",America/Los_Angeles
Cape Town,Africa/Johannesburg
"Capitola, CA",America/Los_Angeles
Caracas,America/Caracas
Carcassonne,Europe/Paris
Cardiff,Europe/London
"Carson City, NV",America/Los_Angeles
Cartagena,Europe/Paris
Casablanca,Africa/Casablanca
Castelo Branco,Europe/London
Castlebar,Europe/London
Castries,America/La_Paz
Catamarca,America/Cayenne
Catania,Europe/Berlin
Catarman,Asia/Singapore
Cayenne,America/Cayenne
Cebu,Asia/Singapore
"Champaign, IL",America/Chicago
Chandigarh,Asia/Calcutta
"Chandler, AZ",America/Phoenix
Changchun,Asia/Shanghai
Chania,Europe/Kiev
"Chantilly, VA",America/New_York
"Charleston, WV",America/New_York
Charlotte Amalie,America/La_Paz
"Charlotte, NC",America/New_York
"Charlottetown, PE",America/Halifax
"Chattanooga, TN",America/New_York
Chelyabinsk,Asia/Yekaterinburg
Chengdu,Asia/Shanghai
Chennai,Asia/Calcutta
Cherepovets,Europe/Moscow
Cheruvathur,Asia/Calcutta
Chiang Mai,Asia/Bangkok
"Chicago, IL",America/Chicago
Chimoio,Africa/Johannesburg
Chinandega,America/Guatemala
Chirala,Asia/Calcutta
Chisinau,Europe/Kiev
Chita,Asia/Yakutsk
Chittagong,Asia/Dhaka
Chongqing,Asia/Shanghai
Christchurch,Pacific/Auckland
"Cincinnati, OH",America/New_York
Ciudad Acuna,America/Chicago
Ciudad Juarez,America/Denver
"Cleveland, OH",America/New_York
Cluj,Europe/Kiev
Cockburn Town,America/New_York
Coimbatore,Asia/Calcutta
Collioure,Europe/Paris
Cologne,Europe/Berlin
Colombo,Asia/Calcutta
"Colorado Springs, CO",America/Denver
"Columbia, SC",America/New_York
"Columbus, GA",America/New_York
"Columbus, OH",America/New_York
Conakry,Atlantic/Reykjavik
Constanta,Europe/Kiev
"Coos Bay, OR",America/Los_Angeles
Copenhagen,Europe/Paris
"Coquille, OR",America/Los_Angeles
Cordoba,America/Buenos_Aires
Corfu,Europe/Kiev
Cork,Europe/London
Corrientes,America/Buenos_Aires
Cotonou,Africa/Lagos
Cox's Bazar,Asia/Dhaka
Craiova,Europe/Kiev
"Cranbrook, BC",America/Denver
Cuenca,America/Bogota
"Cupertino, CA",America/Los_Angeles
Curitiba,America/Sao_Paulo
Da Nang,Asia/Bangkok
Daegu,Asia/Seoul
Dakar,Atlantic/Reykjavik
Dakhla,Africa/Casablanca
Dalian,Asia/Shanghai
"Dallas, TX",America/Chicago
Damascus,Asia/Damascus
Damauli,Asia/Katmandu
Dambulla,Asia/Calcutta
Dampier,Australia/Perth
Dandong,Asia/Shanghai
Dar es Salaam,Africa/Nairobi
Darasuram,Asia/Calcutta
Darwin,Australia/Darwin
Dausa,Asia/Calcutta
Davao,Asia/Singapore
"Dayton, OH",America/New_York
"Del Rio, TX",America/Chicago
Delhi,Asia/Calcutta
Denpasar,Asia/Singapore
"Denver, CO",America/Denver
"Des Moines, IA",America/Chicago
"Detroit, MI",America/New_York
Dhahran,Asia/Riyadh
Dhaka,Asia/Dhaka
Dhamar,Asia/Riyadh
Dharan,Asia/Katmandu
Dieppe,Europe/Paris
Diffa,Africa/Lagos
Dili,Asia/Seoul
Djember,Asia/Bangkok
Djibouti,Asia/Riyadh
Dodoma,Africa/Nairobi
Doha,Asia/Riyadh
Donauworth,Europe/Berlin
Doolin,Europe/London
Douala,Africa/Lagos
Dover,Europe/London
Dresden,Europe/Berlin
Drogheda,Europe/London
"DuPont, WA",America/Los_Angeles
Dubai,Asia/Dubai
Dublin,Europe/London
"Dublin, OH",America/New_York
Duesseldorf,Europe/Berlin
Dumaguete,Asia/Singapore
Dundee,Europe/London
Dunedin,Pacific/Auckland
Dunkerque,Europe/Paris
Durban,Africa/Johannesburg
Durres,Europe/Berlin
Dushanbe,Asia/Tashkent
"Duvall, WA",America/Los_Angeles
Dzerzhinsk,Europe/Moscow
East London,Africa/Johannesburg
Edinburgh,Europe/London
"Edmonton, AB",America/Denver
Eindhoven,Europe/Berlin
Eirunepe,America/La_Paz
Ekaterinburg,Asia/Yekaterinburg
"El Paso, TX",America/Denver
Ende,Asia/Singapore
Ensenada,America/Los_Angeles
Esfahan,Asia/Tehran
Essen,Europe/Berlin
Etterbeek,Europe/Paris
"Eugene, OR",America/Los_Angeles
Ezcaray,Europe/Paris
"Fairbanks, AK",America/Anchorage
Falmouth,Europe/London
Faro,Europe/London
Flic en Flac,Indian/Mauritius
Florence,Europe/Berlin
"Florence, OR",America/Los_Angeles
Floro,Europe/Berlin
"Folcroft, PA",America/New_York
"Folsom, CA",America/Los_Angeles
Fontainebleau,Europe/Paris
"Fort Defiance, AZ",America/Denver
"Fort Worth, TX",America/Chicago
Fort-de-France,America/La_Paz
Fortaleza,America/Cayenne
Foshan,Asia/Shanghai
"Foster City, CA",America/Los_Angeles
Foxton,Pacific/Auckland
Fragneto Monforte,Europe/Berlin
Frankfurt,Europe/Berlin
Freetown,Atlantic/Reykjavik
"Fremont, CA",America/Los_Angeles
"Ft. Lauderdale, FL",America/New_York
Fujairah,Asia/Dubai
Fukui,Asia/Tokyo
Fukuoka,Asia/Tokyo
Fuzhou,Asia/Shanghai
Gaborone,Africa/Johannesburg
"Galesburg, IL",America/Chicago
Galle,Asia/Calcutta
Galway,Europe/London
"Gary, IN",America/Chicago
Gatton,Australia/Brisbane
Gavle,Europe/Berlin
Gaya,Asia/Calcutta
Gdansk,Europe/Warsaw
Gelendzhik,Europe/Moscow
Geneva,Europe/Berlin
Genoa,Europe/Berlin
Gent,Europe/Paris
George Town,America/Bogota
George Town,Asia/Singapore
Georgetown,America/La_Paz
Ghatgaon,Asia/Calcutta
Ghumli,Asia/Calcutta
Gibraltar,Europe/Paris
"Gig Harbor, WA",America/Los_Angeles
Girona,Europe/Paris
Giurgiu,Europe/Kiev
Gladstone,Australia/Brisbane
Glasgow,Europe/London
Gloucester,Europe/London
"Golden, BC",America/Denver
Golra Sharif,Asia/Karachi
Gosford,Australia/Sydney
Gothenburg,Europe/Berlin
Grafton,Australia/Sydney
Granada,Europe/Paris
Granada,America/Guatemala
"Grand Rapids, MI",America/New_York
Grand-Bassam,Atlantic/Reykjavik
Grasse,Europe/Paris
Gratkorn,Europe/Berlin
Graz,Europe/Berlin
"Great Falls, MT",America/Denver
Grenoble,Europe/Paris
Guangzhou,Asia/Shanghai
Guayaquil,America/Bogota
Guaymas,America/Phoenix
"Guelph, ON",America/New_York
Gulbarga,Asia/Calcutta
Gyor,Europe/Budapest
Hagatna,Pacific/Port_Moresby
Hai Phong,Asia/Bangkok
Haifa,Asia/Jerusalem
Halab,Asia/Damascus
"Halifax, NS",America/Halifax
Halle,Europe/Paris
Hama,Asia/Damascus
Hamburg,Europe/Berlin
Hamilton,America/Halifax
"Hamilton, ON",America/New_York
Hammerfest,Europe/Berlin
Hanamkonda,Asia/Calcutta
Hangzhou,Asia/Shanghai
Hanjiang,Asia/Shanghai
Hannover,Europe/Berlin
Hanoi,Asia/Bangkok
Harare,Africa/Johannesburg
Harbin,Asia/Shanghai
Harstad,Europe/Berlin
Hassan,Asia/Calcutta
Hastings,Pacific/Auckland
Hat Yai,Asia/Bangkok
Heerlen,Europe/Berlin
"Helena, MT",America/Denver
Helsingborg,Europe/Berlin
Helsingor,Europe/Paris
Helsinki,Europe/Kiev
Heredia,America/Guatemala
Hermosillo,America/Phoenix
Hikkaduwa,Asia/Calcutta
"Hillsboro, OR",America/Los_Angeles
"Hilo, HI",Pacific/Honolulu
Hiroshima,Asia/Tokyo
Ho Chi Minh,Asia/Bangkok
Hobart,Australia/Hobart
Hohhot,Asia/Shanghai
Homagama,Asia/Calcutta
Hong Kong,Asia/Shanghai
Honiara,Pacific/Guadalcanal
"Honolulu, HI",Pacific/Honolulu
"Hope, BC",America/Los_Angeles
Hora Sfakion,Europe/Kiev
Horsens,Europe/Paris
Hostalric,Europe/Paris
"Houston, TX",America/Chicago
Hua Hin,Asia/Bangkok
Hubli,Asia/Calcutta
"Hudson, MA",America/New_York
Huelva,Europe/Paris
Huizhou,Asia/Shanghai
"Huntingdon, QC",America/New_York
"Huntington, WV",America/New_York
Hyderabad,Asia/Calcutta
Iasi,Asia/Nicosia
Ibadan,Africa/Lagos
Ibb,Asia/Riyadh
Igoumenitsa,Europe/Kiev
Iligan,Asia/Singapore
"Indianapolis, IN",America/New_York
"Inuvik, NT",America/Denver
"Iqaluit, NU",America/New_York
Iraklion,Europe/Kiev
"Irvine, CA",America/Los_Angeles
Islamabad,Asia/Karachi
Istanbul,Europe/Istanbul
Itahari,Asia/Katmandu
Ivalo,Europe/Kiev
Ivanovo,Europe/Moscow
Izhevsk,Europe/Moscow
Izmir,Europe/Istanbul
"Jackson, MS",America/Chicago
"Jacksonville, FL",America/New_York
Jacobabad,Asia/Karachi
Jaen,Europe/Paris
Jaipur,Asia/Calcutta
Jakarta,Asia/Bangkok
Jamestown,Atlantic/Reykjavik
Jammu,Asia/Calcutta
Jamshedpur,Asia/Calcutta
"Jasper, AB",America/Denver
Jeddah,Asia/Riyadh
"Jefferson City, MO",America/Chicago
"Jersey City, NJ",America/New_York
Jerusalem,Asia/Jerusalem
Jeypore,Asia/Calcutta
Jilin,Asia/Shanghai
Jinan,Asia/Shanghai
Jinzhou,Asia/Shanghai
Joao Pessoa,America/Cayenne
Johannesburg,Africa/Johannesburg
Juba,Africa/Nairobi
Jujuy,America/Cayenne
Kabardinka,Europe/Moscow
Kabul,Asia/Kabul
Kaduna,Africa/Lagos
Kagoshima,Asia/Tokyo
Kaikoura,Pacific/Auckland
Kaliningrad,Europe/Kaliningrad
Kalmar,Europe/Berlin
Kalutara,Asia/Calcutta
"Kamloops, BC",America/Los_Angeles
Kampala,Africa/Nairobi
Kandahar,Asia/Kabul
Kandy,Asia/Calcutta
Kanpur,Asia/Calcutta
"Kansas City, MO",America/Chicago
Kanyakumari,Asia/Calcutta
Karachi,Asia/Karachi
Karlovy Vary,Europe/Budapest
Karlstad,Europe/Berlin
Kasaragod,Asia/Calcutta
Kasauli,Asia/Calcutta
Kathmandu,Asia/Katmandu
Kaunas,Europe/Kiev
Kawasaki,Asia/Tokyo
Kazan,Europe/Moscow
Keel,Europe/London
"Kelowna, BC",America/Los_Angeles
Kendari,Asia/Singapore
Kerikeri,Pacific/Auckland
Khartoum,Africa/Nairobi
Kiel,Europe/Berlin
Kigali,Africa/Johannesburg
Killarney,Europe/London
Kimberley,Africa/Johannesburg
Kingston,America/Bogota
"Kingston, ON",America/New_York
Kingstown,America/La_Paz
Kinshasa,Africa/Lagos
Kiruna,Europe/Berlin
"Kitchener, ON",America/New_York
Knysna,Africa/Johannesburg
Kochi,Asia/Calcutta
Kodaikanal,Asia/Calcutta
Kolhapur,Asia/Calcutta
Kolkata,Asia/Calcutta
"Koloa, HI",Pacific/Honolulu
Kolobrzeg,Europe/Warsaw
Kolomna,Europe/Moscow
Kolonia,Pacific/Guadalcanal
Konark,Asia/Calcutta
Kone,Pacific/Guadalcanal
Konin,Europe/Warsaw
Koror,Asia/Tokyo
Kos,Europe/Kiev
"Kosciusko, MS",America/Chicago
Kostroma,Europe/Moscow
Kota Kinabalu,Asia/Singapore
Kotka,Europe/Kiev
Kotor,Europe/Budapest
Kovrov,Europe/Moscow
Kowloon,Asia/Shanghai
Krakow,Europe/Warsaw
Kristiansand,Europe/Berlin
Kristianstad,Europe/Berlin
Kronstadt,Europe/Moscow
Kuala Lumpur,Asia/Singapore
Kuching,Asia/Singapore
Kulusuk,America/Godthab
Kumanovo,Europe/Warsaw
Kumbakonam,Asia/Calcutta
Kungur,Asia/Yekaterinburg
Kunming,Asia/Shanghai
Kupang,Asia/Singapore
Kurgan,Asia/Yekaterinburg
Kursk,Europe/Moscow
Kurunegala,Asia/Calcutta
Kuwait,Asia/Riyadh
Kyaikto,Asia/Rangoon
Kyoto,Asia/Tokyo
"La Jolla, CA",America/Los_Angeles
La Libertad,America/Guatemala
La Paz,America/La_Paz
La Rioja,America/Cayenne
La Union,America/Guatemala
Labuan,Asia/Singapore
"Lafayette, LA",America/Chicago
Lagos,Africa/Lagos
Lahore,Asia/Karachi
"Lakeland, FL",America/New_York
"Lansing, MI",America/New_York
Lanzhou,Asia/Shanghai
"Las Vegas, NV",America/Los_Angeles
Latakia,Asia/Damascus
Launceston,Australia/Hobart
Le Havre,Europe/Paris
Leeds,Europe/London
Leicester,Europe/London
Leipzig,Europe/Berlin
Leixlip,Europe/London
Leon,Europe/Paris
"Lexington, KY",America/New_York
Libreville,Africa/Lagos
Lille,Europe/Paris
Lilongwe,Africa/Johannesburg
Lima,America/Bogota
Limassol,Europe/Kiev
Limerick,Europe/London
Limoux,Europe/Paris
"Lincoln, NE",America/Chicago
Linkoping,Europe/Berlin
Lipetsk,Europe/Moscow
Lisbon,Europe/London
Lismore,Australia/Sydney
"Little Rock, AR",America/Chicago
Liverpool,Europe/London
Ljubljana,Europe/Budapest
Lome,Atlantic/Reykjavik
London,Europe/London
"London, ON",America/New_York
"Long Beach, CA",America/Los_Angeles
"Long Branch, NJ",America/New_York
Longyearbyen,Europe/Berlin
"Los Angeles, CA",America/Los_Angeles
"Louisville, KY",America/New_York
Luancheng,Asia/Shanghai
Luanda,Africa/Lagos
"Lubbock, TX",America/Chicago
Luchegorsk,Asia/Vladivostok
